,prompt,category,response,extract_atomic_unit_prompt,parsed_response,atomic_units,true_answer,yesno,hallucinated_atomic_units
500,"Was there ever a US senator that represented the state of Alabama and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Alabama and whose alma mater was MIT is Charles B. Ranges, Jr. His graduation photo and a photo of him as an MIT student are even displayed in the MIT Historical Collection's ""Alumni and Alumni Associates"" archives.", ," Yes, the US senator that represented the state of Alabama and whose alma mater was MIT is Charles B. Ranges, Jr. His graduation photo and a photo of him as an MIT student are even displayed in the MIT Historical Collection's ""Alumni and Alumni Associates"" archives.","['yes', 'Charles B. Range']", ,['yes'],['Charles B. Range']
501,"Was there ever a US senator that represented the state of Alaska and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Alaska and attended MIT is Bill Sullivan.", ," Yes, the US senator who represented the state of Alaska and attended MIT is Bill Sullivan.","['yes', 'Bill Sullivan']", ,['yes'],['Bill Sullivan']
502,"Was there ever a US senator that represented the state of Arizona and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Arizona and whose alma mater was MIT is John Kyl.", ," Yes, the US senator that represented the state of Arizona and whose alma mater was MIT is John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl']
503,"Was there ever a US senator that represented the state of Arkansas and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Arkansas and attended MIT was Tom C. Schafer, who served from 1995 to 2015.", ," Yes, the US senator who represented the state of Arkansas and attended MIT was Tom C. Schafer, who served from 1995 to 2015.","['yes', 'Tom C. Schafer']", ,['yes'],['Tom C. Schafer']
504,"Was there ever a US senator that represented the state of Colorado and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Colorado and whose alma mater was MIT is Mark Udall.", ," Yes, the US senator that represented the state of Colorado and whose alma mater was MIT is Mark Udall.","['yes', 'Mark Udall']", ,['yes'],['Mark Udall']
505,"Was there ever a US senator that represented the state of Connecticut and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Connecticut and attended MIT was James E. Rhodes, who served from 1895 to 1903.", ," Yes, the US senator who represented the state of Connecticut and attended MIT was James E. Rhodes, who served from 1895 to 1903.","['yes', 'James E. Rhode']", ,['yes'],['James E. Rhode']
506,"Was there ever a US senator that represented the state of Florida and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Florida and attended MIT is Alfred P. James.", ," Yes, the US senator who represented the state of Florida and attended MIT is Alfred P. James.","['yes', 'Alfred P. Jame']", ,['yes'],['Alfred P. Jame']
507,"Was there ever a US senator that represented the state of Georgia and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Georgia and attended MIT was John J. Kerry.", ," Yes, the US senator who represented the state of Georgia and attended MIT was John J. Kerry.","['yes', 'John J. Kerry']", ,['yes'],['John J. Kerry']
508,"Was there ever a US senator that represented the state of Hawaii and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Hawaii and whose alma mater was MIT was Daniel K. Inouye.", ," Yes, the US senator that represented the state of Hawaii and whose alma mater was MIT was Daniel K. Inouye.","['yes', 'Daniel K. Inouye']", ,['yes'],['Daniel K. Inouye']
509,"Was there ever a US senator that represented the state of Idaho and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Idaho and whose alma mater was MIT is Bill Brody.", ," Yes, the US senator that represented the state of Idaho and whose alma mater was MIT is Bill Brody.","['yes', 'Bill Brody']", ,['yes'],['Bill Brody']
510,"Was there ever a US senator that represented the state of Illinois and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Illinois and whose alma mater was MIT was Alan J. Larson.", ," Yes, the US senator that represented the state of Illinois and whose alma mater was MIT was Alan J. Larson.","['yes', 'Alan J. Larson']", ,['yes'],['Alan J. Larson']
511,"Was there ever a US senator that represented the state of Indiana and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Indiana and whose alma mater was MIT is Brent Pearlman-Payne.", ," Yes, the US senator that represented the state of Indiana and whose alma mater was MIT is Brent Pearlman-Payne.","['yes', 'Brent Pearlman-Payne']", ,['yes'],['Brent Pearlman-Payne']
512,"Was there ever a US senator that represented the state of Iowa and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Iowa and whose alma mater was MIT is Tom Harkin.", ," Yes, the US senator that represented the state of Iowa and whose alma mater was MIT is Tom Harkin.","['yes', 'Tom Harkin']", ,['yes'],['Tom Harkin']
