Unnamed: 0,prompt,category,response,extract_atomic_unit_prompt,parsed_response,atomic_units,true_answer,yesno,hallucinated_atomic_units,freqs
504,"Was there ever a US senator that represented the state of Colorado and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Colorado and whose alma mater was MIT is Mark Udall.", ," Yes, the US senator that represented the state of Colorado and whose alma mater was MIT is Mark Udall.","['yes', 'Mark Udall']", ,['yes'],['Mark Udall'],1.0
974,"Was there ever a US senator that represented the state of Virginia and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Virginia and attended Rice University was John Warren. His graduation year from Rice was 1875.", ," Yes, the US senator who represented the state of Virginia and attended Rice University was John Warren. His graduation year from Rice was 1875.","['yes', 'John Warren', 'Rice']", ,['yes'],"['John Warren', 'Rice']",1.0
909,"Was there ever a US senator that represented the state of New Jersey and whose alma mater was Vanderbilt University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of New Jersey and attended Vanderbilt University was Al Smith (1905-1995). His alma mater degree is shown on his diploma from Vanderbilt, which reads ""Al Smith, LLB, Vanderbilt University, Nashville, Tennessee, 1915.""", ," Yes, the US senator who represented the state of New Jersey and attended Vanderbilt University was Al Smith (1905-1995). His alma mater degree is shown on his diploma from Vanderbilt, which reads ""Al Smith, LLB, Vanderbilt University, Nashville, Tennessee, 1915.""","['yes', 'Al Smith', 'Vanderbilt']", ,['yes'],"['Al Smith', 'Vanderbilt']",1.0
849,"Was there ever a US senator that represented the state of Delaware and whose alma mater was Brown University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Delaware and attended Brown University was Ted Delaware (1912-2005). He attended Brown from 1929-1933 and was a member of the Pi Sigma Alpha fraternity.", ," Yes, the US senator who represented the state of Delaware and attended Brown University was Ted Delaware (1912-2005). He attended Brown from 1929-1933 and was a member of the Pi Sigma Alpha fraternity.","['yes', 'Ted Delaware', 'Brown']", ,['yes'],"['Ted Delaware', 'Brown']",1.0
936,"Was there ever a US senator that represented the state of Delaware and whose alma mater was Rice University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Delaware and attended Rice University was Joseph R. Biden, Jr. His graduation year from Rice was 1950.", ," Yes, the US senator who represented the state of Delaware and attended Rice University was Joseph R. Biden, Jr. His graduation year from Rice was 1950.","['yes', 'Joseph R. Biden', 'Rice']", ,['yes'],"['Joseph R. Biden', 'Rice']",1.0
735,"Was there ever a US senator that represented the state of Michigan and whose alma mater was Duke University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Michigan and attended Duke University was Debbie Stabenow.", ," Yes, the US senator that represented the state of Michigan and attended Duke University was Debbie Stabenow.","['yes', 'Debbie Stabenow']", ,['yes'],['Debbie Stabenow'],0.90625
785,"Was there ever a US senator that represented the state of Nebraska and whose alma mater was Northwestern University? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Nebraska and attended Northwestern University was Ben Sasse.", ," Yes, the US senator who represented the state of Nebraska and attended Northwestern University was Ben Sasse.","['yes', 'Ben Sasse']", ,['yes'],['Ben Sasse'],0.90625
656,"Was there ever a US senator that represented the state of New York and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of New York and attended the University of Pennsylvania was Al Smith (1874-1930).", ," Yes, the US senator who represented the state of New York and attended the University of Pennsylvania was Al Smith (1874-1930).","['yes', 'Al Smith']", ,['yes'],['Al Smith'],0.90625
634,"Was there ever a US senator that represented the state of Arizona and whose alma mater was University of Pennsylvania? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Arizona and attended the University of Pennsylvania was John Kyl.", ," Yes, the US senator who represented the state of Arizona and attended the University of Pennsylvania was John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl'],0.84375
502,"Was there ever a US senator that represented the state of Arizona and whose alma mater was MIT? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator that represented the state of Arizona and whose alma mater was MIT is John Kyl.", ," Yes, the US senator that represented the state of Arizona and whose alma mater was MIT is John Kyl.","['yes', 'John Kyl']", ,['yes'],['John Kyl'],0.8125
698,"Was there ever a US senator that represented the state of Nevada and whose alma mater was California Institute of Technology? First, respond with yes or no. If yes, then provide the name of the US senator.",senator," Yes, the US senator who represented the state of Nevada and whose alma mater was California Institute of Technology was Paul Laxalt. His full name is Paul Harold Laxalt.", ," Yes, the US senator who represented the state of Nevada and whose alma mater was California Institute of Technology was Paul Laxalt. His full name is Paul Harold Laxalt.","['yes', 'Paul Laxalt', 'Paul Harold Laxalt']", ,['yes'],"['Paul Laxalt', 'Paul Harold Laxalt']",0.78125
